Name,Formula,-∆fH°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(H)(CO),O-(C)(CB),CD-(H)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),CH3(qua),radical 1,radical 2,radical 3,radical 4,Correction 1,Correction 2,Correction 3,Correction 4
Benzoic acid,C7H6O2,295.7,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2-Methylbenzoic acid,C8H8O2,320.6,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,2,0,0,0,ortho,0,0,0
3-Methylbenzoic acid,C8H8O2,327.9,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,3,0,0,0,meta,0,0,0
4-Methylbenzoic acid,C8H8O2,330.4,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,4,0,0,0,para,0,0,0
2-Propenoic acid,C3H4O2,330.7,acid,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylbenzoic acid",C9H10O2,341.6,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,2,6,0,0,ortho,ortho,0,0
"2,3-Dimethylbenzoic acid",C9H10O2,345.8,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,2,3,0,0,ortho,meta,0,0
"2,5-Dimethylbenzoic acid",C9H10O2,351.1,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,2,5,0,0,ortho,meta,0,0
"2,4-Dimethylbenzoic acid",C9H10O2,355,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,2,4,0,0,ortho,meta,0,0
"3,4-Dimethylbenzoic acid",C9H10O2,362.4,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,3,4,0,0,meta,para,0,0
"3,5-Dimethylbenzoic acid",C9H10O2,364.5,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,3,5,0,0,meta,meta,0,0
"2,3,6-Trimethylbenzoic acid",C10H12O2,371.2,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,2,3,6,0,ortho,meta,ortho,0
"2,4,6-Trimethylbenzoic acid",C10H12O2,374.2,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,2,4,6,0,ortho,para,ortho,0
"2,3,4-Trimethylbenzoic acid",C10H12O2,377.3,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,2,3,4,0,ortho,meta,para,0
Methanoic acid,CH2O2,378.7,acid,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,5-Trimethylbenzoic acid",C10H12O2,382.2,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,2,3,5,0,ortho,meta,meta,0
"2,4,5-Trimethylbenzoic acid",C10H12O2,386.2,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,2,4,5,0,ortho,para,meta,0
"3,4,5-Trimethylbenzoic acid",C10H12O2,389.8,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,3,4,5,0,meta,para,meta,0
"2,3,4,6-Tetramethylbenzoic acid",C11H14O2,398.1,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,2,3,4,6,ortho,meta,para,ortho
"2,3,4,5-Tetramethylbenzoic acid",C11H14O2,398.7,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,2,3,4,5,ortho,meta,para,meta
"2,3,5,6-Tetramethylbenzoic acid",C11H14O2,400.1,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,4,0,0,2,3,5,6,ortho,meta,meta,ortho
"3,5-Diethylbenzoic acid",C11H14O2,407.8,acid,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,3,2,2,0,3,5,0,0,meta,meta,0,0
Ethanoic acid,C2H4O2,432.8,acid,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propanoic acid,C3H6O2,455.7,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butanoic acid,C4H8O2,475.8,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,2-Dimethylpropanoic acid",C5H10O2,491.3,acid,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
Pentanoic acid,C5H10O2,496.3,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexanoic acid,C6H12O2,513.4,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Heptanoic acid ,C7H14O2,539.4,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocatanoic acid,C8H16O2,553.9,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonanoic acid,C9H18O2,579.6,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Decanoic acid,C10H20O2,594.9,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Undecanoic acid,C11H22O2,614.6,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Phthalic acid,C8H6O4,652.2,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,ortho,0,0,0
Dodecanoic acid,C12H24O2,642,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Tridecanoic acid,C13H26O2,660.2,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Isophthalic acid,C8H6O4,667.4,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,meta,0,0,0
Terephthalic acid,C8H6O4,668,acid,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,para,0,0,0
Tetradecanoic acid,C14H28O2,693.8,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentadecanoic acid,C15H30O2,699,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalic acid,C2H2O4,732,acid,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexadecanoic acid,C16H32O2,737,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Octadecanoic acid,C18H36O2,781.2,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonadecanoic acid,C19H38O2,785.3,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosanoic acid,C20H40O2,812.4,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Succinic acid,C4H6O4,823,acid,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutaric acid,C5H8O4,837,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipic acid,C6H10O4,865,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Suberic acid,C8H14O4,894.9,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebacic acid,C10H18O4,921.9,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodecanedioic acid,C12H22O4,976.9,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methoxybenzoic acid,C8H8O3,433.8,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,ortho,0,0,0
3-Methoxybenzoic acid,C8H8O3,446.1,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,meta,0,0,0
4-Methoxybenzoic acid,C8H8O3,451.9,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,para,0,0,0
Trimellitic acid,C9H6O6,1036.7,acid,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,0,ortho,para,0,0
"1,2,3-Benzene tricarboxylic acid",C9H6O6,,acid,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,ortho,meta,0,0
"1,3,5-Benzene tricarboxylic acid",C9H6O6,,acid,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,meta,meta,0,0
